REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
623,Kyrgyzstan,KGZ,Asia Pacific,12/1/2006,7/1/2007,2006,Earthquake,Natural Hydrometeorologic hydrological,Emergency appeal,6979,657055
624,Afghanistan,AFG,Asia Pacific,2/1/2005,8/1/2005,2005,Severe winter,Natural Hydrometeorologic climatological,Emergency appeal,22656,906913
625,Angola,AGO,Africa,4/1/2005,7/1/2005,2005,Marburg Haemorrhagic Fever Outbreak,Natural Biological,DREF,25430,0
627,Benin,BEN,Africa,5/1/2005,6/1/2007,2005,Togolese refugees,Human related,Emergency appeal,10000,1291067
628,Bosnia and Herzegovina,BIH,Europe,12/1/2005,2/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,DREF,4750,25093
629,Bulgaria,BGR,Europe,8/1/2005,3/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,DREF,22520,219808
630,Burkina Faso,BFA,Africa,7/1/2005,7/1/2006,2005,Food Insecurity,Human related,Emergency appeal,536000,31563799
631,Mali,MLI,Africa,7/2/2005,7/2/2006,2005,Food Insecurity,Human related,Emergency appeal,,
632,Mauritania,MRT,Africa,7/3/2005,7/3/2006,2005,Food Insecurity,Human related,Emergency appeal,,
633,Niger,NER,Africa,7/4/2005,7/4/2006,2005,Food Insecurity,Human related,Emergency appeal,,
635,Central African Republic,CAF,Africa,8/1/2005,10/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,4500,0
636,China,CHN,Asia Pacific,3/1/2005,5/1/2007,2005,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,400000,5501605
640,El Salvador,SLV,Americas,10/1/2005,4/1/2007,2005,Floods and vulcanic activity,Natural Geophysical and Hydrometeorologic hydrological,Emergency appeal,21000,1288326
641,Eritrea,ERI,Africa,1/1/2005,10/1/2006,2005,Drought,Natural Hydrometeorologic climatological,Emergency appeal,40000,5210000
642,Ethiopia,ETH,Africa,6/1/2005,8/1/2008,2005,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,43000,735000
643,Georgia,GEO,Europe,5/1/2005,3/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,16000,403725
644,Ghana,GHA,Africa,11/1/2005,1/1/2006,2005,Cholera,Natural Biological,DREF,343442,38000
645,Guinea Bissau,GNB,Africa,8/1/2005,2/1/2006,2005,Cholera,Natural Biological,DREF,201000,27838
646,Guyana,GUY,Americas,1/1/2005,9/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,57500,1383356
648,Iraq,IRQ,Middle East and North Africa,11/1/2005,1/1/2007,2005,Humanitarian Emergency,Human related,Emergency appeal,350000,7953524
649,Kenya,KEN,Africa,6/1/2005,11/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,15168,100021
650,Kenya,KEN,Africa,7/1/2005,12/1/2005,2005,Marsabit unrest,Human related,DREF,7500,0
651,Lebanon,LBN,Middle East and North Africa,4/1/2005,9/1/2005,2005,Emergency support for the Lebanese Red Cross Ambulance Services,Human related,Emergency appeal,N/A,387000
652,Lesotho,LSO,Africa,10/1/2005,9/1/2006,2005,Food Insecurity,Human related,Emergency appeal,1500000,11067382
653,Malawi,MWI,Africa,10/1/2005,9/1/2006,2005,Food Insecurity,Human related,Emergency appeal,,
656,Swaziland,SWZ,Africa,10/1/2005,9/1/2006,2005,Food Insecurity,Human related,Emergency appeal,,
658,Zimbabwe,ZWE,Africa,10/1/2005,9/1/2006,2005,Food Insecurity,Human related,Emergency appeal,,
659,Mali,MLI,Africa,11/1/2005,12/1/2005,2005,Yellow fever,Natural Biological,DREF,2000000,18408
660,Moldova,MDA,Europe,8/1/2005,12/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,3000,50000
661,Nigeria,NGA,Africa,8/1/2005,11/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,50000,0
662,Pakistan,PAK,Asia Pacific,2/1/2005,9/1/2005,2005,Floods and snowfalls minor emergencies,Natural Hydrometeorologic hydrological,DREF,10000,100000
663,Pakistan,PAK,Asia Pacific,10/1/2005,12/1/2011,2005,Earthquake,Natural Geophysical,Emergency appeal,1085000,167680883
665,Romania,ROU,Europe,4/1/2005,5/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,30000,1055000
666,Romania,ROU,Europe,7/1/2005,2/1/2006,2005,Floods,Natural Hydrological and Biological,DREF,10000,240938
667,Senegal,SEN,Africa,9/1/2005,12/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,7547,31715
668,Senegal,SEN,Africa,3/1/2005,7/1/2005,2005,Cholera,Natural Biological,DREF,5400,52096
671,Sierra Leone,SLE,Africa,9/1/2005,1/1/2006,2005,Floods ,Natural Hydrometeorologic hydrological,Emergency appeal,7000,234869
673,Sudan,SDN,Africa,12/1/2005,8/1/2006,2005,Yellow fever,Natural Biological,DREF,556,200000
674,Sudan,SDN,Africa,3/1/2005,12/1/2005,2005,Explosion in Juba,Technological Industrial accident ,DREF,4500,0
675,Sudan,SDN,Africa,8/1/2005,4/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,DREF,3675,200000
676,Swaziland,SWZ,Africa,1/1/2005,4/1/2005,2005,Storms ,Natural Hydrometeorologic meteorological,DREF,7117,35535
677,Tanzania,TZA,Africa,5/1/2005,8/1/2005,2005,Flooding in Zanzibar,Natural Hydrometeorologic hydrological,DREF,6000,0
678,Tanzania,TZA,Africa,12/1/2005,3/1/2006,2005,Earthquake,Natural Geophysical,DREF,270,0
679,Vietnam,VNM,Asia Pacific,10/1/2005,10/1/2006,2005,Typhoon Damrey,Natural Hydrometeorologic meteorological,Emergency appeal,32450,813678
