ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
214,Panama & Costa Rica Floods,12/8/2008,LAC,Panama,PAN,40158,100000,,,,,,,,,,,,,,,,100000
214,Panama & Costa Rica Floods,12/9/2008,LAC,Costa Rica,CRI,,,,,,,,,,,,,,,,,,0
215,Horn of Africa Food Insecurity Crisis,12/10/2008,Africa,Djibouti,DJI,16800000,,1,,,,,,,,,,,,,,,0
215,Horn of Africa Food Insecurity Crisis,12/11/2008,Africa,Ethiopia,ETH,,,,,,,,,,,,,,,,,,0
215,Horn of Africa Food Insecurity Crisis,12/12/2008,Africa,Kenya,KEN,,,,,,,,,,,,,,,,,,0
215,Horn of Africa Food Insecurity Crisis,12/13/2008,Africa,Somalia,SOM,,,,,,,,,,,,,,,,,,0
216,"Uganda, Rwanda, Burundi Population Movement",12/14/2008,Africa,Uganda,UGA,280000,50000,1,,,,,,,,,,,,,,,50000
218,Gaza Conflict - Israel,12/17/2008,Europe/Asia,Israel,ISR,,,,,,,,,,,,,,,,,,0
218,Gaza Conflict - Palestine,12/17/2008,Europe/Asia,Palestine,PSE,90000,921250,,,,,,,,,,,,,,,,921250
217,Zimbabwe Cholera Epidemic,12/17/2008,Africa,Zimbabwe,ZWE,50000,100000,,,,,,,,,,,,,,,,100000
219,Costa Rica Earthquake,1/8/2009,LAC,Costa Rica,CRI,2943,62250,2,,,,,,,,,,,,,,,74200
220,Australia Wildfires,2/7/2009,Europe/Asia,Australia,AUS,22000,1520000,,,,,,,,,,,,,,,,1520000
221,Sri Lanka Conflict,3/5/2009,Europe/Asia,Sri Lanka,LKA,250000,500000,1,,,,,,,,,,,,,,,500000
222,Colombia Floods,3/19/2009,LAC,Colombia,COL,31250,,,8000,,,8000,,,,,,,,,,,30000
223,Italy Earthquake,4/7/2009,Europe/Asia,Italy,ITA,48000,981315,,,,,,,,,,,,,,,,981315
224,Namibia Floods,5/15/2009,Africa,Namibia,NAM,700000,50000,,,,,,,,,,,,,,,,50000
226,Pakistan Internally Displaced Persons Crisis,5/15/2009,Europe/Asia,Pakistan,PAK,2000000,250000,,5150,,,,,,,,,,,,,,330000
225,Africa Polio Outbreak,5/15/2009,Africa,Sudan,SDN,25000000,200000,,,,,,,,,,,,,,,,200000
227,Bangladesh Cyclone Aila,6/26/2009,Europe/Asia,Bangladesh,BGD,3928238,,1,,,,,,,,,,,,,,,0
228,Tajikistan Mudslides and Floods,8/12/2009,Europe/Asia,Tajikistan,TJK,12000,11500,,,,,,,,,,,,,,,,11500
229,Syria Drought,9/1/2009,Europe/Asia,Syria,SYR,1300000,50000,,,,,,,,,,,,,,,,50000
232,Java Indonesia Earthquake,9/2/2009,Europe/Asia,Indonesia,IDN,90000,0,1,,,,,,,,,,,,,,,0
